timeframe,tp,sl,hold,min_adx,min_rsi,win_rate,total_signals
1d,0.02,0.01,10,14,56,29.411764705882355,17
1d,0.02,0.01,10,18,48,35.0,20
1d,0.02,0.01,10,18,52,33.33333333333333,18
1d,0.02,0.01,10,18,56,29.411764705882355,17
1d,0.02,0.01,10,22,48,33.33333333333333,18
1d,0.02,0.01,10,22,52,31.25,16
1d,0.02,0.01,10,22,56,31.25,16
1d,0.02,0.01,15,14,48,33.33333333333333,15
1d,0.02,0.01,15,14,52,33.33333333333333,15
1d,0.02,0.01,15,14,56,33.33333333333333,15
1d,0.02,0.01,15,18,48,33.33333333333333,15
1d,0.02,0.01,15,18,52,33.33333333333333,15
1d,0.02,0.01,15,18,56,33.33333333333333,15
1d,0.02,0.01,15,22,48,33.33333333333333,15
1d,0.02,0.01,15,22,52,33.33333333333333,15
1d,0.02,0.01,15,22,56,33.33333333333333,15
1d,0.02,0.015,5,14,48,45.83333333333333,24
1d,0.02,0.015,5,14,52,45.45454545454545,22
1d,0.02,0.015,5,14,56,44.44444444444444,18
1d,0.02,0.015,5,18,48,45.83333333333333,24
1d,0.02,0.015,5,18,52,45.45454545454545,22
1d,0.02,0.015,5,18,56,44.44444444444444,18
1d,0.02,0.015,5,22,48,42.857142857142854,21
1d,0.02,0.015,5,22,52,42.10526315789473,19
1d,0.02,0.015,5,22,56,47.05882352941176,17
1d,0.02,0.015,10,14,48,50.0,20
1d,0.02,0.015,10,14,52,50.0,18
1d,0.02,0.015,10,14,56,47.05882352941176,17
1d,0.02,0.015,10,18,48,50.0,20
1d,0.02,0.015,10,18,52,50.0,18
1d,0.02,0.015,10,18,56,47.05882352941176,17
1d,0.02,0.015,10,22,48,50.0,18
1d,0.02,0.015,10,22,52,50.0,16
1d,0.02,0.015,10,22,56,50.0,16
1d,0.02,0.015,15,14,48,53.333333333333336,15
1d,0.02,0.015,15,14,52,53.333333333333336,15
1d,0.02,0.015,15,14,56,53.333333333333336,15
1d,0.02,0.015,15,18,48,53.333333333333336,15
1d,0.02,0.015,15,18,52,53.333333333333336,15
1d,0.02,0.015,15,18,56,53.333333333333336,15
1d,0.02,0.015,15,22,48,53.333333333333336,15
1d,0.02,0.015,15,22,52,53.333333333333336,15
1d,0.02,0.015,15,22,56,53.333333333333336,15
1d,0.02,0.02,5,14,48,45.83333333333333,24
1d,0.02,0.02,5,14,52,45.45454545454545,22
1d,0.02,0.02,5,14,56,44.44444444444444,18
1d,0.02,0.02,5,18,48,45.83333333333333,24
1d,0.02,0.02,5,18,52,45.45454545454545,22
1d,0.02,0.02,5,18,56,44.44444444444444,18
1d,0.02,0.02,5,22,48,42.857142857142854,21
1d,0.02,0.02,5,22,52,42.10526315789473,19
1d,0.02,0.02,5,22,56,47.05882352941176,17
1d,0.02,0.02,10,14,48,50.0,20
1d,0.02,0.02,10,14,52,50.0,18
1d,0.02,0.02,10,14,56,47.05882352941176,17
1d,0.02,0.02,10,18,48,50.0,20
1d,0.02,0.02,10,18,52,50.0,18
1d,0.02,0.02,10,18,56,47.05882352941176,17
1d,0.02,0.02,10,22,48,50.0,18
1d,0.02,0.02,10,22,52,50.0,16
1d,0.02,0.02,10,22,56,50.0,16
1d,0.02,0.02,15,14,48,53.333333333333336,15
1d,0.02,0.02,15,14,52,53.333333333333336,15
1d,0.02,0.02,15,14,56,53.333333333333336,15
1d,0.02,0.02,15,18,48,53.333333333333336,15
1d,0.02,0.02,15,18,52,53.333333333333336,15
1d,0.02,0.02,15,18,56,53.333333333333336,15
1d,0.02,0.02,15,22,48,53.333333333333336,15
1d,0.02,0.02,15,22,52,53.333333333333336,15
1d,0.02,0.02,15,22,56,53.333333333333336,15
