timeframe,tp,sl,hold,min_adx,min_rsi,win_rate,total_signals
1h,0.01,0.01,15,18,48,43.90243902439025,41
1h,0.01,0.01,15,18,52,44.73684210526316,38
1h,0.01,0.01,15,18,56,44.44444444444444,36
1h,0.01,0.01,15,22,48,43.90243902439025,41
1h,0.01,0.01,15,22,52,44.73684210526316,38
1h,0.01,0.01,15,22,56,44.44444444444444,36
1h,0.01,0.015,5,14,48,25.53191489361702,47
1h,0.01,0.015,5,14,52,24.390243902439025,41
1h,0.01,0.015,5,14,56,24.324324324324326,37
1h,0.01,0.015,5,18,48,25.53191489361702,47
1h,0.01,0.015,5,18,52,24.390243902439025,41
1h,0.01,0.015,5,18,56,24.324324324324326,37
1h,0.01,0.015,5,22,48,23.91304347826087,46
1h,0.01,0.015,5,22,52,24.390243902439025,41
